grid_id,lat,lon,anomaly_type,scenario,residual,canopy_pct,impervious_pct,minority_pct
GY-91,40.05658,-75.03932,cool,ne_philly_rooftop,-4.51,1.5,64.7,50.4
GY-33,40.10881,-75.03926,cool,ne_philly_rooftop,-4.43,3.2,84.3,25.8
HQ-35,40.10699,-75.01815,cool,ne_philly_rooftop,-4.39,1.1,90.3,36.1
BK-64,40.08088,-75.20812,cool,ne_philly_rooftop,-4.32,22.0,65.7,27.0
GV-31,40.11062,-75.04278,cool,ne_philly_rooftop,-4.31,1.0,84.5,25.8
HL-73,40.07278,-75.02406,cool,ne_philly_rooftop,-4.3,0.0,85.5,57.5
BL-70,40.07548,-75.20694,cool,ne_philly_rooftop,-4.23,6.1,79.5,14.6
HC-34,40.10791,-75.03457,cool,ne_philly_rooftop,-3.94,0.9,85.0,25.8
BZ-73,40.07279,-75.19053,cool,ne_philly_rooftop,-3.85,25.5,62.6,46.9
BQ-76,40.07008,-75.20107,cool,ne_philly_rooftop,-3.74,10.2,70.5,18.0
AM-97,40.05114,-75.23621,cool,ne_philly_rooftop,-3.52,8.1,73.2,48.2
CB-90,40.05748,-75.18817,cool,ne_philly_rooftop,-3.49,3.8,63.1,40.7
GV-57,40.0872,-75.0428,cool,ne_philly_rooftop,-3.35,5.5,78.8,33.2
IB-25,40.11599,-75.00523,cool,ne_philly_rooftop,-3.33,8.6,79.1,24.6
